,Age,Gender,have_kids,Occupation_Business,Occupation_Engineer,Occupation_HR,Occupation_Manager,Occupation_Marketing ,Occupation_Recruiter,Occupation_Tutor,is_office_near_home
195,29,0,1,0,1,0,0,0,0,0,1
196,23,1,0,0,0,0,0,0,0,1,0
197,26,0,0,0,1,0,0,0,0,0,1
198,27,1,0,0,0,0,0,1,0,0,0
199,26,1,0,0,1,0,0,0,0,0,0
200,24,0,1,0,0,1,0,0,0,0,0
201,28,1,0,0,0,0,1,0,0,0,1
202,32,0,1,0,1,0,0,0,0,0,1
203,52,1,1,1,0,0,0,0,0,0,1
204,22,1,0,0,0,0,0,1,0,0,1
205,25,0,1,0,0,0,0,1,0,0,0
206,23,0,0,0,0,0,0,0,0,1,0
